iter	Logloss
0	0.6540274689
1	0.6229158669
2	0.5987920928
3	0.5803327428
4	0.5654357352
5	0.5546693278
6	0.5453235394
7	0.53808181
8	0.5322169095
9	0.5277129459
10	0.5241730845
11	0.5211894147
12	0.5188459048
13	0.5168555899
14	0.5153747811
15	0.5141994178
16	0.5130960052
17	0.5121398116
18	0.5115184039
19	0.5109361901
20	0.5104256911
21	0.5099829601
22	0.5096986915
23	0.5093992845
24	0.5092120464
25	0.5088593592
26	0.5086811892
27	0.5085294226
28	0.5083709466
29	0.5081302069
30	0.5080473248
31	0.5079367279
32	0.5078185806
33	0.5077657159
34	0.5077190606
35	0.5076201031
36	0.5076183124
37	0.5075289258
38	0.507484447
39	0.5074472284
40	0.5073948106
41	0.5073514643
42	0.5073106145
43	0.5072609427
44	0.5071990174
45	0.5071691018
46	0.5071199049
47	0.5070291252
48	0.5069958145
49	0.5069712513
50	0.5069515771
51	0.5069168973
52	0.5068785291
53	0.5068149689
54	0.5067911537
55	0.5067453895
56	0.5067152022
57	0.506694942
58	0.5066434603
59	0.5066308349
60	0.5066038096
61	0.5065893495
62	0.5065587434
63	0.50652185
64	0.5064960465
65	0.5064316822
66	0.5063560351
67	0.5063184412
68	0.5062770864
69	0.5062577504
70	0.5062221501
71	0.5061901998
72	0.5061910279
73	0.5061789695
74	0.5061436588
75	0.5060962551
76	0.5060596795
77	0.506042184
78	0.5060353764
79	0.5060130968
80	0.505990395
81	0.505975061
82	0.5059625543
83	0.5059271778
84	0.5058791541
85	0.5058708497
86	0.5058447984
87	0.5058173054
88	0.5057956609
89	0.5057794783
90	0.5057640996
91	0.5057264529
92	0.5056933683
93	0.5056757242
94	0.505644305
95	0.5056285126
96	0.5056176991
97	0.5056053747
98	0.5055724611
99	0.5055555503
100	0.5055207175
101	0.5055174447
102	0.5054907455
103	0.5054535203
104	0.5054365621
105	0.5054024451
106	0.505380956
107	0.5053635835
108	0.5053477003
109	0.5053194809
110	0.5053067628
111	0.5052835439
112	0.5052674628
113	0.5052581815
114	0.5052426229
115	0.5052344132
116	0.5052129487
117	0.5051886534
118	0.5051602315
119	0.5051285934
120	0.5051118935
121	0.5050965057
122	0.5050760891
123	0.5050580395
124	0.505041566
125	0.5050391865
126	0.5050224509
127	0.505000431
128	0.5049447877
129	0.5049335669
130	0.5049300372
131	0.504909715
132	0.5048843967
133	0.5048689762
134	0.5048440804
135	0.5048008299
136	0.5047817835
137	0.5047545964
138	0.504742681
139	0.5047159006
140	0.5047102014
141	0.504688988
142	0.5046882354
143	0.5046554332
144	0.5046337579
145	0.504588645
146	0.5045330981
147	0.5045229146
148	0.5045145808
149	0.5045044214
150	0.5044793969
151	0.5044513163
152	0.5044116928
153	0.5043607131
154	0.5043517101
155	0.5042818876
156	0.5042391495
157	0.504227248
158	0.504212441
159	0.5041614291
160	0.5041481172
161	0.5040963694
162	0.5040800832
163	0.5040463034
164	0.5040251971
165	0.5040030156
166	0.5039845394
167	0.5039246491
168	0.503913902
169	0.5038756991
170	0.5038173907
171	0.5037927132
172	0.5037736893
173	0.5037456038
174	0.5037292093
175	0.5037089901
176	0.5036876922
177	0.503667119
178	0.5036433215
179	0.503608317
180	0.5036030652
181	0.5035753717
182	0.5035514909
183	0.5035189264
184	0.5034876934
185	0.5034657773
186	0.5034547001
187	0.5034358531
188	0.5033953263
189	0.5033749427
190	0.5033606259
191	0.5033540881
192	0.503333356
193	0.5033141973
194	0.5033002348
195	0.503294368
196	0.5032880757
197	0.503263482
198	0.5032351961
199	0.5032274262
200	0.5032047978
201	0.5031476076
202	0.5031124496
203	0.5031026757
204	0.5030861751
205	0.5030804139
206	0.503072443
207	0.5030615308
208	0.5030432602
209	0.5030290974
210	0.5030020781
211	0.5029892452
212	0.5029732235
213	0.5029700855
214	0.502952285
215	0.5029397126
216	0.5029182151
217	0.5029045116
218	0.502889906
219	0.5028854787
220	0.5028664071
221	0.5028519747
222	0.5028440176
223	0.5028284202
224	0.5028123519
225	0.502802952
226	0.5027731111
227	0.5027593769
228	0.5027401938
229	0.5027223099
230	0.5027067071
231	0.5026991039
232	0.5026806665
233	0.5026733943
234	0.5026625038
235	0.5026423382
236	0.5026393742
237	0.5026107116
238	0.5025948755
239	0.5025857965
240	0.5025753011
241	0.5025723491
242	0.5025632788
243	0.5025320874
244	0.5025113464
245	0.5025010271
246	0.5024860993
247	0.5024636763
248	0.5024509342
249	0.5024457754
250	0.5024287344
251	0.5024063495
252	0.5023915106
253	0.5023835998
254	0.5023488454
255	0.5023388998
256	0.5023228876
257	0.5023111446
258	0.502297266
259	0.5022755827
260	0.5022636351
261	0.5022547884
262	0.5022402087
263	0.5022311567
264	0.5022229636
265	0.5022203795
266	0.5022172746
267	0.5022153891
268	0.5021949343
269	0.5021667275
270	0.5021690078
271	0.5021576096
272	0.502148953
273	0.5021343739
274	0.5021336801
275	0.5021198332
276	0.5021059538
277	0.5020937682
278	0.5020930697
279	0.5020765501
280	0.5020671483
281	0.5020487047
282	0.5020366378
283	0.5020329899
284	0.5020273298
285	0.5020177711
286	0.5020095527
287	0.502002564
288	0.5019888226
289	0.5019744493
290	0.5019634979
291	0.5019564476
292	0.5019040528
293	0.5018966612
294	0.5018880128
295	0.5018799259
296	0.5018718568
297	0.501859136
298	0.5018490201
299	0.5018365557
300	0.5018285614
301	0.5018176187
302	0.5018009081
303	0.5017905157
304	0.5017712348
305	0.5017657326
306	0.5017591391
307	0.5017444595
308	0.5017317087
309	0.5017196072
310	0.5017151837
311	0.5016967688
312	0.5016915264
313	0.5016778053
314	0.5016569412
315	0.5016243766
316	0.5016192274
317	0.5016136207
318	0.5015972274
319	0.501569007
320	0.5015643465
321	0.5015564368
322	0.5015412673
323	0.5015330866
324	0.5015284301
325	0.501505937
326	0.5014974768
327	0.5014876525
328	0.5014755047
329	0.5014673796
330	0.5014567267
331	0.5014495238
332	0.5014413336
333	0.5014384326
334	0.5014300095
335	0.5014223923
