iter	Passed	Remaining
0	97	97308
1	135	67470
2	169	56229
3	209	52086
4	248	49427
5	287	47602
6	326	46265
7	369	45872
8	407	44893
9	446	44230
10	487	43788
11	522	42980
12	564	42857
13	599	42194
14	643	42226
15	680	41853
16	720	41676
17	758	41354
18	789	40768
19	830	40680
20	871	40613
21	906	40294
22	940	39939
23	983	39995
24	1021	39847
25	1065	39929
26	1101	39702
27	1136	39462
28	1173	39275
29	1222	39521
30	1256	39266
31	1297	39260
32	1343	39355
33	1376	39099
34	1418	39098
35	1460	39118
36	1500	39042
37	1534	38848
38	1574	38790
39	1633	39206
40	1683	39374
41	1723	39319
42	1759	39155
43	1801	39136
44	1843	39113
45	1882	39038
46	1917	38877
47	1956	38807
48	1998	38786
49	2034	38652
50	2072	38557
51	2115	38565
52	2154	38496
53	2196	38485
54	2237	38445
55	2271	38294
56	2305	38142
57	2338	37985
58	2372	37845
59	2404	37670
60	2444	37633
61	2477	37476
62	2509	37320
63	2542	37182
64	2580	37117
65	2613	36978
66	2646	36859
67	2682	36770
68	2714	36628
69	2751	36557
70	2788	36491
71	2822	36373
72	2854	36252
73	2889	36163
74	2926	36089
75	2965	36049
76	2998	35945
77	3036	35893
78	3076	35863
79	3105	35718
80	3146	35695
81	3183	35641
82	3216	35531
83	3250	35450
84	3286	35381
85	3326	35352
86	3363	35295
87	3400	35245
88	3441	35222
89	3472	35114
90	3505	35013
91	3540	34945
92	3574	34862
93	3609	34787
94	3644	34720
95	3676	34619
96	3713	34571
97	3745	34474
98	3778	34388
99	3810	34298
100	3849	34267
101	3880	34162
102	3922	34156
103	3959	34108
104	3998	34085
105	4038	34059
106	4073	33998
107	4114	33981
108	4151	33934
109	4191	33916
110	4223	33823
111	4265	33816
112	4305	33796
113	4343	33754
114	4384	33741
115	4416	33656
116	4456	33630
117	4493	33585
118	4528	33526
119	4563	33462
120	4603	33443
121	4642	33409
122	4673	33321
123	4715	33311
124	4754	33281
125	4786	33202
126	4828	33189
127	4860	33112
128	4900	33088
129	4933	33017
130	4976	33015
131	5009	32940
132	5051	32926
133	5084	32859
134	5118	32796
135	5156	32757
136	5199	32752
137	5236	32709
138	5269	32641
139	5310	32622
140	5343	32550
141	5383	32529
142	5415	32454
143	5452	32411
144	5495	32405
145	5535	32378
146	5572	32337
147	5609	32290
148	5640	32212
149	5675	32159
150	5710	32109
151	5748	32069
152	5782	32010
153	5818	31966
154	5856	31927
155	5894	31891
156	5928	31832
157	5966	31796
158	6008	31780
159	6047	31749
160	6086	31720
161	6127	31696
162	6169	31680
163	6203	31624
164	6239	31577
165	6280	31551
166	6321	31534
167	6366	31527
168	6405	31497
169	6441	31451
170	6474	31386
171	6510	31341
172	6548	31302
173	6584	31256
174	6617	31197
175	6658	31176
176	6697	31141
177	6739	31125
178	6778	31091
179	6822	31081
180	6859	31037
181	6902	31023
182	6939	30979
183	6973	30926
184	7009	30881
185	7048	30847
186	7093	30841
